Alignment name,Distance from boundary,Alignment position,E-value
C-struc_bS1-RNAP7Ca,0.6,557-564,0.00822974704902003
HA-putativeLoki,0.8323084607698553,53-76,2.112480350082603e-09
HA-putativeLoki,0.8235294117647058,176-192,8.315287191035679e-07
HA-putativeLoki,0.8235294117647058,99-108,0.0002651289841779429
IF2-EFTU_Ploop,1.0,132-176,2.8625185805493937e-20
IF2-EFTU_Ploop,1.0,33-58,5.109089028063325e-12
IF2-EFTU_Ploop,0.8571428571428571,112-126,2.607436880825365e-06
IF2-EFTU_Ploop,0.8235294117647058,209-222,9.836488555477036e-06
IF2-EFTU_Ploop,0.7319491894240376,83-94,0.00015325761825596898
IF2-EFTU_Ploop,0.7142857142857143,193-203,0.0003869779446438603
IF2-EFTU_Ploop,0.6,246-253,0.00822974704902003
N-struc_bS01-RNAP7Ca,0.8423854013256591,518-537,4.820958260038375e-08
N-struc_bS01-RNAP7Ca,0.8235294117647058,566-576,0.00011635978996172176
N-struc_bS01-RNAP7Ca,0.6294100851365408,506-513,0.006504372206240302
aIF5-bEFTU,1.0,156-202,3.873997628687187e-21
aIF5-bEFTU,1.0,39-63,1.3887943864964021e-11
aIF5-bEFTU,0.8235294117647058,141-149,0.0006041036880038358
aIF5-bEFTU,0.8235294117647058,596-608,2.241270991851658e-05
aIF5-bEFTU,0.7142857142857143,265-273,0.0016147559818205847
aIF5-bEFTU,0.7142857142857143,91-102,0.00018944182523289424
aIF5-bEFTU,0.7142857142857143,411-420,0.0007904903231199661
aIF5-bEFTU,0.7142857142857143,463-471,0.0016147559818205847
aIF5-bEFTU,0.6499935437986448,335-340,0.020242695576128445
aL08-aL30,1.0,54-90,8.533047625744066e-17
aL08-aL30,0.8571428571428571,94-118,4.939576018831217e-10
aL08-aL30,0.8235294117647058,124-136,2.241270991851658e-05
aL08-eS12,1.0,59-90,1.2664165549094176e-14
aL08-eS12,1.0,93-122,9.357622968840175e-14
aL08-eS12,0.7142857142857143,135-142,0.0032985057559390915
aL30-eS12,1.0,52-82,3.442477108469977e-14
aL30-eS12,0.8235294117647058,99-119,3.085035291171009e-08
aL30-eS12,0.7142857142857143,135-145,0.0003869779446438603
aL37-bL34,0.8571428571428571,77-98,6.463189843866002e-09
aaTRNAS_Y-W,0.8235294117647058,152-169,3.649412658598358e-07
aaTRNAS_Y-W,0.8235294117647058,293-307,4.317037406623199e-06
aaTRNAS_Y-W,0.8235294117647058,592-596,0.016282781831675534
aeL14-eL27,1.0,14-40,1.8795288165390832e-12
aeL14-eL27,0.8235294117647058,87-100,9.836488555477036e-06
casp9-mcasp_struct,0.8571428571428571,436-459,1.1639708028329947e-09
casp9-mcasp_struct,0.8571428571428571,389-414,2.096221931549022e-10
casp9-mcasp_struct,0.8238880014517589,487-513,2.1833816505191738e-10
casp9-mcasp_struct,0.8235294117647058,534-545,5.1067976448960483e-05
seq-bS01-RNAP7Ca,1.0,550-569,2.061153622438558e-09
seq-bS01-RNAP7Ca,0.8571428571428571,577-587,8.039396646431872e-05
seq-bS01-RNAP7Ca,0.8571428571428571,609-625,4.695793366476845e-07
seq-bS01-RNAP7Ca,0.8235294117647058,642-649,0.0013764668807952861
uL02b-bL34,1.0,321-347,1.8795288165390832e-12
uL02c-aL37,0.7142857142857143,273-282,0.0007904903231199661
uL03a-aIF5,0.7142857142857143,632-645,4.5399929762484854e-05
uL03a-aIF5,0.694455242794074,320-331,0.00024033833131369264
uL03a-aRNAPA,0.8571428571428571,23-49,8.895796662618906e-11
uL03a-aRNAPA,0.8235294117647058,142-165,2.6079382185915827e-09
uL03a-aRNAPA2,0.7142857142857143,313-332,6.248749509463085e-07
uL03a-aRNAPA2,0.6,513-525,0.0004097349789797868
uL03a-aRNAPB-ClustalW,0.8568905654283713,564-584,1.531088422826573e-08
uL03a-aRNAPB-ClustalW,0.8235294117647058,122-134,2.241270991851658e-05
uL03a-aRNAPB-ClustalW,0.8235294117647058,386-405,7.02933782512279e-08
uL03a-aRNAPB-ClustalW,0.7142857142857143,355-366,0.00018944182523289424
uL03a-aRNPA-ClustalW,0.8235294117647058,385-397,2.241270991851658e-05
uL03a-aRNPA-ClustalW,0.7142857142857143,1101-1107,0.006737946999085467
uL03a-aRNPA-ClustalW,0.6,1027-1040,0.0002248673241788482
uL03a-aRNPA-ClustalW,0.5436180462645404,539-551,0.0008527581312031597
uL03a-aRNPA-full,0.8235294117647058,396-406,0.00011635978996172176
uL03a-aRNPA-full,0.8235294117647058,655-669,4.317037406623199e-06
uL03a-aRNPA-full,0.8235294117647058,878-888,0.00011635978996172176
uL03a-aRNPA-full,0.7142857142857143,1134-1140,0.006737946999085467
uL03a-aRNPA-full,0.6,1062-1076,0.00012340980408667956
uL03a-aRNPA-full,0.5338415913937448,573-585,0.0009683270287560038
uL03b-aIF5,0.8235294117647058,86-97,5.1067976448960483e-05
uL03b-aRNAPA2,0.7142857142857143,505-517,9.273966551400924e-05
uL03b-aRNAPA2,0.5980470140261548,375-383,0.004596670112373619
uL03b-aRNAPB-ClustalW,0.8235294117647058,577-588,5.1067976448960483e-05
uL03b-aRNAPB-ClustalW,0.7046406976564887,123-135,0.00010512829783735845
uL11b-bS18,0.7142857142857143,98-108,0.0003869779446438603
uL33_aperm_STRUC,0.7142857142857143,139-149,0.0003869779446438603
uL33_bperm_PRMS,0.7142857142857143,93-105,9.273966551400924e-05
uL33_bperm_STRUC,0.7142857142857143,24-34,0.0003869779446438603
